value,elections_2012,elections_2014
55,Партія регіонів,самовисування
26,Партія регіонів,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
25,самовисування,самовисування
20,"політична партія Всеукраїнське об’єднання ""Батьківщина""","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
11,самовисування,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
9,"політична партія Всеукраїнське об’єднання ""Батьківщина""",самовисування
8,"політична партія Всеукраїнське об’єднання ""Батьківщина""","Політична партія ""НАРОДНИЙ ФРОНТ"""
6,"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
4,"політична партія Всеукраїнське об’єднання ""Свобода""","політична партія Всеукраїнське об’єднання ""Свобода"""
4,Партія регіонів,"Політична партія ""НАРОДНИЙ ФРОНТ"""
3,"політична партія Всеукраїнське об’єднання ""Свобода""",самовисування
3,самовисування,"Політична партія ""НАРОДНИЙ ФРОНТ"""
3,політична партія Єдиний Центр,самовисування
2,"політична партія Всеукраїнське об’єднання ""Батьківщина""","політична партія Всеукраїнське об’єднання ""Батьківщина"""
2,Партія регіонів,"Політична партія ""Опозиційний блок"""
2,"політична партія Всеукраїнське об’єднання ""Свобода""","Політична партія ""НАРОДНИЙ ФРОНТ"""
2,"політична партія Всеукраїнське об’єднання ""Свобода""","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
1,"політична партія Всеукраїнське об’єднання ""Свобода""","Політична партія ""Об’єднання ""САМОПОМІЧ"""
1,самовисування,"політична партія Всеукраїнське об’єднання ""Свобода"""
1,самовисування,"Політична партія ""Воля"""
1,Партія регіонів,"Партія Сергія Тігіпка ""Сильна Україна"""
1,Радикальна Партія Олега Ляшка,"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП"""
1,Партія регіонів,"Політична партія ""ПРАВИЙ СЕКТОР"""
1,Народна Партія,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
1,Народна Партія,самовисування
